Qty,Reference Designator,Description,Package,Part Number
3,"BTN1, BTN2, RESET",6x6x7mm tactile switch,4-PTH,
1,C9,CAP 0.1u 50V,0603,
12,"C12,C15,C16,C21,C22,C29,C34,C38,C40,C41,C42,C43",CAP 0.1u 50V,0402,
1,C8,CAP 100u,PANASONIC_D,
2,"C10, C32",CAP 1u 10V,0603,
1,C46,CAP 1u 10V,0402,
1,C11,CAP 0.1u,0805,
2,"C7, C37",CAP 2.2u 6.3V,0402,
4,"C1, C6, C25, C33",CAP 10u 10V,0603,
4,"C23, C24, C26, C28",CAP 10u 25V,0805,
1,C39,CAP 4.7u 6.3V,0603,
1,C50,CAP 8.2p,0402,
5,"C30, C35, C45, C47, C49",CAP 10n 50V,0402,
4,"C3, C4, C5, C36",CAP 22u 6.3V,0805,
2,"C27, C31",CAP 22u 25V,1206,
4,"C13, C14, C17, C18",CAP 47p 50V,0402,
1,C44,CAP ALUM 220u 16V,PANASONIC_D,
2,"C2, C19",CAP 20p,0402,
2,"C20, C48",CAP 0.22u,0402,
1,R1,RES 10 1/10W 5%,0402,
12,"R7,R10,R11,R19,R26,R28,R31,R36,R39,R41,R42,R43",RES 10k 1/10W 5%,0603,
4,"R46, R47, R48, R49",RES 15 1/10W 5%,0402,
1,R33,RES 18k 1/10W 5%,0402,
1,R45,RES 1.21k 1/10W 5%,0402,
2,"R27, R29",RES 39k 1/10W 5%,0402,
3,"R18, R32, R40",RES 93.1k 1/10W 1%,0402,
3,"R2, R3, R34",RES 100k 1/10W 5%,0402,
4,"R4, R20, R21, R35",RES 220 1/10W 5%,0402,
3,"R37, R38, R44",RES 2k 1/4W 5%,0402,
4,"R22, R23, R24, R25",RES 4.7k 1/10W 1%,0402,
2,"R12, R13",RES 100,0402,
1,POT,TRIMMER 10k 1/2W,3-SMD,3361S-1-103GLF
-,"J14,J15,J16","1x40 0.1"" male header",various PTH,
-,"J1,J2,J3,J5,J6,J7,J8,J9,J10,J11,J12,J13,JP1,JP2,JP3, LCD","1x40 0.1"" female header",various PTH,
1,L1,INDUCTOR - 2.7u 10A,2-SMD,VLF12060T-2R7N100
4,"MOTOR1, MOTOR2, POWER, SERVO_PWR",2 position screw terminal,2-PTH,
1,Y2,8MHz CRYSTALSMD HC49UP,2-SMD,
1,F1,PTC RESETABLE 1A,1206,
1,SW1,SW SLIDE 0.1A,3-PTH,
1,USB1,CONN USB R/A A TYPE,4-SMT + 2 PTH,1001-002-01100
1,USB2,CONN RCPT USB MINI B R/A,5-SMT + 4 tab,UX60SC-MB-5ST(80)
1,SD,CONN MINI MICRO-SD 8PIN,8-SMD,101-00581-59
2,XB1,10pin 2mm female header,10-PTH,
1,LED4,LED RED,0603,
3,"LED2, LED3, LED5",LED YELLOW,0603,
2,"LED6, LED7",LED R/G,0606,
1,SG1,BUZZER,2-PTH,
1,LD1085,AP1084,DPAK,
1,U$3,8BIT SHIFT REGISTER,14-TSSOP,MC74HC164
4,"U$6, U$7, U$8, U$9",SI7617,POWERPAK1212-8,SI7617
2,"U$10, U$11",BAV99,SOT-23,
1,U2,REG BUCK ADJ 10A,14-WDFN,RT7259
1,U3,INVERTER,6-TSSOP (5-lead),NC7SZU04
1,LCD,16x2 character LCD screen,NOT PLACED,external board
2,"U$4, U$5",Motor Driver,VFQFPN48,L6206Q
1,Q1,P-MOSFET 4A,POWERFLAT2x2,STL4P2UH7
1,Q2,NPN Transistor,SOT23-3,2STR1230
1,U$12,P-MOSFET 19A,POWERFLAT5x6,STL85N6F3
2,"U6, U8",ESD PROTECTION,SOT23-6L,USBLC6-2
1,IC3,STM32F4 MCU 32BIT,100-LQFP,STM32F437VI
1,U$2,PWR SW USB 1A,SO-8,STMPS2171MTR
1,IC4,DUAL OP AMP,8-SOIC,LM358DT
1,U$1,ACCEL/GYRO,28-TFLGA,LSM330DLC